sample	completeness	contamination	class	rep1_GR	rep2_GR	rep3_GR
T1	73.93	0.31	Thermoplasmata	1.9324	1.4863	1.3827
T1	84.83	1.43	Flavobacteriia	1.2278	1.4421	2.5074
T1	66.73	0.44	Betaproteobacteria	2.0412	1.6785	1.6700
T1	66.37	5.44	Gammaproteobacteria	1.4096	1.7944	1.6872
T1	67.24	1.72	Alphaproteobacteria	1.6475	1.2427	2.0188
T1	77.17	7.07	Alphaproteobacteria	1.4660	1.2117	2.0964
T0	93.72	1.65	Flavobacteriia	1.5714	1.5284	1.7383
T0	85.65	5.11	Flavobacteriia	1.7593	1.6665	1.8320
T0	81.07	4.15	Unassigned_Bacteria	1.9779	1.7046	1.9521
T0	62.18	6.88	Alphaproteobacteria	2.3395	2.1165	2.3324
T0	57.51	7.6	Unassigned_Bacteria	1.5453	1.4873	1.8496
T0	70.09	1.81	Alphaproteobacteria	1.8338	2.0000	2.1470
T0	53.73	8.53	Gammaproteobacteria	2.4546	2.9017	2.9985
T0	56.32	9.64	Gammaproteobacteria	1.8590	1.7797	2.0706
T0	81.87	6.07	Alphaproteobacteria	2.3554	2.5113	2.1475
T0	62.77	7.78	Flavobacteriia	7.3100	7.3791	8.1079
T0	51.11	8.46	Gammaproteobacteria	2.7665	2.8693	3.2884
T0	97.98	9.99	Gammaproteobacteria	1.4281	1.3177	1.9011
T0	60	6.48	Flavobacteriia	2.3890	2.9503	2.6941
T0	69.69	2.40	Unassigned_Bacteria	2.7510	2.2614	2.0907
T0	50.19	5.17	Flavobacteriia	1.7752	1.9525	1.7320
T0	50.34	7.69	Flavobacteriia	2.2696	3.5498	2.0957
T0	89.84	9.9	Alphaproteobacteria	1.4819	1.9978	1.6325
T0	75.58	6.59	Unassigned_Bacteria	2.4713	2.3988	2.1048
T0	50.63	2.21	Alphaproteobacteria	1.3822	2.1999	1.4455
T0	60.69	9.48	Flavobacteriia	1.9166	2.3395	2.3741
T0	53.30	4.40	Gammaproteobacteria	1.1035	1.7592	1.8034
T0	65.68	2.92	Gammaproteobacteria	1.2742	1.2266	2.2329
T0	87.76	4.66	Betaproteobacteria	1.5964	1.8767	1.5921
T0	56.91	3.24	Spirochaetia	1.1559	1.3018	3.0006
T0	52.85	7.73	Alphaproteobacteria	1.7349	1.6609	2.1957
T0	56.39	4.96	Alphaproteobacteria	1.6444	1.5123	2.3483
T0	50.81	1.01	Alphaproteobacteria	1.7485	1.9181	1.7042
T0	61.67	9.24	Unassigned_Euryarchaeota	1.0626	1.1406	2.4389
T0	62.32	9.81	Actinobacteria	1.2329	1.0479	2.0411
T0	59.50	7.91	Gammaproteobacteria	1.6420	1.8572	1.3893
T0	51.96	7.49	Alphaproteobacteria	1.5699	2.2489	1.4220
T0	62.57	4.13	Unassigned_Bacteria	1.2573	1.2411	2.6070
T0	76.50	7.06	Gammaproteobacteria	2.0667	2.4819	2.1809
T0	62.00	5.82	Flavobacteriia	1.3642	1.1299	2.4728
T0	51.25	5.78	Alphaproteobacteria	1.9818	2.1528	2.3349
T0	89.48	7.17	Planctomycetia	1.2053	1.8059	1.2150
